Epoch,Train Loss,Val Loss,Val Improvement
0,0.11947,0.1171,-1.2631
1,0.11937,0.11702,-1.2631
2,0.11928,0.11693,-1.2631
3,0.1192,0.11683,-1.2631
4,0.11911,0.11674,-1.2631
5,0.11902,0.11664,-1.2631
6,0.11894,0.11655,-1.2631
7,0.11885,0.11646,-1.2631
8,0.11876,0.11637,-1.2631
9,0.11867,0.11628,-1.258
10,0.11859,0.11618,-1.258
11,0.1185,0.11608,-1.258
12,0.11841,0.11599,-1.258
13,0.11833,0.11589,-1.258
14,0.11824,0.11579,-1.258
15,0.11815,0.1157,-1.258
16,0.11807,0.1156,-1.258
17,0.11798,0.11551,-1.258
18,0.11789,0.11542,-1.258
19,0.1178,0.11533,-1.258
20,0.11772,0.11523,-1.258
21,0.11763,0.11515,-1.258
22,0.11754,0.11506,-1.258
23,0.11745,0.11496,-1.258
24,0.11736,0.11487,-1.258
25,0.11727,0.11478,-1.258
26,0.11719,0.11468,-1.258
27,0.1171,0.11459,-1.258
28,0.11701,0.11449,-1.258
29,0.11692,0.11439,-1.258
30,0.11683,0.1143,-1.258
31,0.11674,0.11421,-1.258
32,0.11665,0.11411,-1.258
33,0.11656,0.11402,-1.258
34,0.11646,0.11393,-1.258
35,0.11638,0.11382,-1.258
36,0.11629,0.11372,-1.258
37,0.1162,0.11362,-1.258
38,0.1161,0.11353,-1.258
39,0.11601,0.11343,-1.258
40,0.11591,0.11334,-1.258
41,0.11582,0.11325,-1.1967
42,0.11574,0.11313,-1.1967
43,0.11564,0.11302,-1.1967
44,0.11555,0.11292,-1.1967
45,0.11545,0.11282,-1.1967
46,0.11535,0.11273,-1.1967
47,0.11527,0.11263,-1.0492
48,0.11517,0.11254,-1.0492
49,0.11508,0.11244,-1.0492
50,0.11498,0.11234,-1.0492
51,0.11489,0.11224,-1.0343
52,0.11479,0.11214,-1.0343
53,0.1147,0.11204,-1.0233
54,0.1146,0.11194,-1.0233
55,0.11451,0.11184,-1.0233
56,0.11442,0.11173,-1.0233
57,0.11432,0.11162,-1.0233
58,0.11422,0.11152,-0.5322
59,0.11413,0.11142,-0.5322
60,0.11403,0.11132,-0.5322
61,0.11393,0.11121,-0.5322
62,0.11383,0.1111,-0.5322
63,0.11374,0.111,-0.5322
64,0.11364,0.11089,-0.5304
65,0.11354,0.11079,-0.5304
66,0.11345,0.11068,-0.5068
67,0.11334,0.11058,-0.5068
68,0.11324,0.11047,-0.5068
69,0.11314,0.11036,-0.3923
70,0.11304,0.11026,-0.3923
71,0.11294,0.11015,-0.3923
72,0.11284,0.11004,-0.3923
73,0.11274,0.10993,-0.3512
74,0.11264,0.10982,-0.2367
75,0.11253,0.10971,-0.2299
76,0.11243,0.10961,-0.2299
77,0.11233,0.1095,-0.2299
78,0.11222,0.10939,-0.2299
79,0.11212,0.10928,-0.2299
80,0.11201,0.10918,-0.2299
81,0.11191,0.10908,-0.2299
82,0.1118,0.10898,-0.1154
83,0.1117,0.10886,-0.1154
84,0.11159,0.10875,-0.1154
85,0.11148,0.10864,-0.1154
